,catalog_number,products
109,PPC-000280,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
110,PPC-000300,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
111,PPC-000310,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
112,PPC-000320,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
113,PPC-000330,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
114,CA594-00150,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
115,CA394-10141,['HP Indigo 7000 Digital Press']
116,CA394-10151,['HP Indigo 7000 Digital Press']
117,CA394-10181,['HP Indigo 7000 Digital Press']
118,CA394-10171,['HP Indigo 7000 Digital Press']
119,CA394-10131,['HP Indigo 7000 Digital Press']
120,CA394-10111,['HP Indigo 7000 Digital Press']
121,CA394-23140,['HP Indigo 7000 Digital Press']
122,CA394-23160,['HP Indigo 7000 Digital Press']
123,CA394-07623,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
124,CA394-07593,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
125,CA394-07653,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
126,CA394-07633,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
127,CA394-07603,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
128,CA394-07673,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
129,CA394-07613,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
130,CA394-07643,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
131,CA394-07663,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
132,CA494-09480,"['HP Indigo 25K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
133,CA494-09500,"['HP Indigo 25K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
134,CA494-09550,"['HP Indigo 25K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
135,CA494-09470,"['HP Indigo 25K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
